address,smart_contract_type,balance,address_annotation
0xb136707642a4ea12fb4bae820f03d2562ebff487,Token,7277385.711515337,WhiteHatDAO
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Token,2388624.019101177,"https://weth.io/, 0x Ecosystem, WrappedEther, Stablecoin, WETH9"
0x742d35cc6634c0532925a3b844bc454e4438f44e,Wallet,2167089.221137729,"Bitfinex_5, Exchange Wallet, Exchange, Fiat Gateway"
0x4e9ce36e442e55ecd9025b9a6e0d88485d628a67,Wallet,2152131.546048929,"Binance_6, Binance, Exchange"
0xab7c74abc0c4d48d1bdad5dcb26153fc8780f83e,Multisig,999999.0124631244,Wallet
0xdc76cd25977e0a5ae17155770273ad58648900d3,Wallet,850860.6835022202,"Huobi_6, Exchange Wallet"
0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,Smart Contract,645173.9063385865,"Ethereum Foundation, EthDev"
0x84ef4b2357079cd7a7c69fd7a37cd0609a679106,Token,598974.3265607895,WhitehatDao2
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,Wallet,449802.23146327,"Kraken_4, Exchange Wallet"
0xab5801a7d398351b8be11c439e05c5b3259aec9b,Wallet,350003.59173109464,vitalik buterin
0x3bfc20f0b9afcace800d73d2191166ff16540258,Smart Contract,306276.2723614006,Polkadot_MultiSig
0x1c4b70a3968436b9a0a9cf5205c787eb81bb558c,Wallet,227888.31063433673,"Gate.io_3, Exchange Wallet"
0xe3ecccd6c67da25871fc5ff9a32a6f5c379167a6,Multisig,207437.97,MultiSigWalletWithDailyLimit
0xcafe1a77e84698c83ca8931f54a755176ef75f2c,Multisig,176299.02495763532,"ICO Wallets, Aragon_MultiSig, MultiSigWallet"
0x851b7f3ab81bd8df354f0d7640efcd7288553419,Multisig,172695.81761100006,"Gnosis_MultiSig1, MultiSigWalletWithDailyLimit"
0xa646e29877d52b9e2de457eca09c724ff16d0a2b,Multisig,170798.347970953,"Status_MultiSig, MultiSigWallet"
0x07c62a47ebe0fa853bb83375e488896ce71266df,Multisig,164493.37518376563,MultiSigWalletWithDailyLimit
0x9295022fb35b28c65f7efaf678254823d3acbe53,Multisig,159000.00400000002,MultiSigWalletWithDailyLimit
0x167a9333bf582556f35bd4d16a7e80e191aa6476,Wallet,149673.78223561775,"Coinone, Exchange Wallet"
0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,Wallet,132309.21774897302,"Kraken_2, Exchange Wallet"
0xc78310231aa53bd3d0fea2f8c705c67730929d8f,Wallet,132000.68910820337,SingularDTV_Wallet
0x25924128d7e41e9bd241788645ba1de8ba8dd640,Multisig,128529.543,MultiSigWalletWithDailyLimit
0x376c3e5547c68bc26240d8dcc6729fff665a4448,Smart Contract,114939.00001000776,Iconomi_MultiSig1
