address,smart_contract_type,balance,address_annotation,transfers_from_count,calls_from_count
0xb136707642a4ea12fb4bae820f03d2562ebff487,Token,7277385.711515337,WhiteHatDAO,0,3
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Token,2388624.019101177,"https://weth.io/, 0x Ecosystem, WrappedEther, Stablecoin, WETH9",133037,0
0x742d35cc6634c0532925a3b844bc454e4438f44e,Wallet,2167089.221137729,"Bitfinex_5, Exchange Wallet, Exchange, Fiat Gateway",72,212
0x4e9ce36e442e55ecd9025b9a6e0d88485d628a67,Wallet,2152131.5460489294,"Binance_6, Binance, Exchange",2,154
0x53d284357ec70ce289d6d64134dfac8e511c8a3d,Wallet,1378754.095476927,"",3,2
0x66f820a414680b5bcda5eeca5dea238543f42054,Wallet,1200001.5435739805,"",1,18
0xab7c74abc0c4d48d1bdad5dcb26153fc8780f83e,Multisig,999999.0124631244,Wallet,22,0
0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,Smart Contract,895999.00001,"",15,0
0xdc76cd25977e0a5ae17155770273ad58648900d3,Wallet,850860.6835022202,"Huobi_6, Exchange Wallet",31,0
0x229b5c097f9b35009ca1321ad2034d4b3d5070f6,Wallet,657334.1450102031,"",1,0
0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,Smart Contract,645173.9063385865,"Ethereum Foundation, EthDev",97,6
0x84ef4b2357079cd7a7c69fd7a37cd0609a679106,Token,598974.3265607895,WhitehatDao2,229,3
0x1b3cb81e51011b549d78bf720b0d924ac763a7c2,Wallet,560000.0000100001,"",0,0
0x51f9c432a4e59ac86282d6adab4c2eb8919160eb,Wallet,530000.0000101001,"",0,0
0xe92d1a43df510f82c66382592a047d288f85226f,Wallet,450000.02010876546,"",0,0
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,Wallet,449802.23146326997,"Kraken_4, Exchange Wallet",1084939,114
0x2140efd7ba31169c69dfff6cdc66c542f0211825,Wallet,407414.0742392265,"",246,0
0x0c0f476d716b18d40a09876c10768c02dec2ceab,Wallet,400000.3390336468,"",9,6
0xab5801a7d398351b8be11c439e05c5b3259aec9b,Wallet,350003.59173109464,vitalik buterin,26,0
0xa7e4fecddc20d83f36971b67e13f1abc98dfcfa6,Wallet,340741.0118108505,"",24,4
0xca8fa8f0b631ecdb18cda619c4fc9d197c8affca,Wallet,325000.00003013026,"",0,0
0x850c0224f37f67c471e860375ac8e39fea61e8b0,Wallet,319500.02930461784,"",20,0
0x034f854b44d28e26386c1bc37ff9b20c6380b00d,Wallet,316007.1881805545,"",20369,0
0x3bfc20f0b9afcace800d73d2191166ff16540258,Smart Contract,306276.2723614006,Polkadot_MultiSig,4,62
0x3bf86ed8a3153ec933786a02ac090301855e576b,Wallet,299900.00187959993,"",2,0
0x07ee55aa48bb72dcc6e9d78256648910de513eca,Smart Contract,292524.20056762756,"",41,0
0x8103683202aa8da10536036edef04cdd865c225e,Wallet,275000.00005326996,"",0,0
0x3a35a67bed013ba23518c2f4fafdf1079fdf2a69,Wallet,263068.63327126147,"",0,0
0x0a4c79ce84202b03e95b7a692e5d728d83c44c76,Wallet,254248.45433694002,"",1,0
0x2b6ed29a95753c3ad948348e3e7b1a251080ffb9,Wallet,250000.00001,"",0,0
0xdb6fd484cfa46eeeb73c71edee823e4812f9e2e1,Wallet,242400.29877100236,"",133,3
0x1c4b70a3968436b9a0a9cf5205c787eb81bb558c,Wallet,227888.3106343367,"Gate.io_3, Exchange Wallet",17,368
0x39d9f4640b98189540a9c0edcfa95c5e657706aa,Wallet,220187.0753959469,"",8195,0
0x73bceb1cd57c711feac4224d062b0f6ff338501e,Wallet,213096.66382944197,"",4,0
0x22650fcf7e175ffe008ea18a90486d7ba0f51e41,Multisig,208142.01139431997,"",6,0
0xe3ecccd6c67da25871fc5ff9a32a6f5c379167a6,Multisig,207437.96999999997,MultiSigWalletWithDailyLimit,1,0
0xa0e239b0abf4582366adaff486ee268c848c4409,Wallet,200782.22661649,"",23,0
0x1e2fcfd26d36183f1a5d90f0e6296915b02bcb40,Wallet,200000.97313798137,"",0,0
0x98ec059dc3adfbdd63429454aeb0c990fba4a128,Wallet,199999.99999999997,"",0,0
0x8cf23cd535a240eb0ab8667d24eedbd9eccd5cba,Wallet,195343.5887550078,"",43,0
0xd69b0089d9ca950640f5dc9931a41a5965f00303,Smart Contract,193276.11798119626,"",4,0
0x036b96eea235880a9e82fb128e5f6c107dfe8f57,Wallet,190634.00646099003,"",7,0
0xbf3aeb96e164ae67e763d9e050ff124e7c3fdd28,Wallet,187068.19601,"",1,0
0xaf10cc6c50defff901b535691550d7af208939c5,Wallet,185590.92957437,"",4,0
0xcafe1a77e84698c83ca8931f54a755176ef75f2c,Multisig,176299.02495763532,"ICO Wallets, Aragon_MultiSig, MultiSigWallet",97,106
0x851b7f3ab81bd8df354f0d7640efcd7288553419,Multisig,172695.81761100006,"Gnosis_MultiSig1, MultiSigWalletWithDailyLimit",50,34
0xa646e29877d52b9e2de457eca09c724ff16d0a2b,Multisig,170798.347970953,"Status_MultiSig, MultiSigWallet",29,11
0x5b5b69f4e0add2df5d2176d7dbd20b4897bc7ec4,Wallet,169032.00001,"",10,10
0x6812f391fd38375316f6613ee1b46b77ad846c52,Wallet,164997.84801,"",0,0
0x07c62a47ebe0fa853bb83375e488896ce71266df,Multisig,164493.37518376566,MultiSigWalletWithDailyLimit,842,0
0x9295022fb35b28c65f7efaf678254823d3acbe53,Multisig,159000.004,MultiSigWalletWithDailyLimit,6,0
0xd3bc722ebd74d8f4bc1e732e02db0133041d3364,Wallet,157336.10328,"",0,0
0x11577a8a5baf1e25b9a2d89f39670f447d75c3cd,Wallet,153633.45639782643,"",1,0
0x3cceb0d443ca4b1320ae4fa60a053eac163ca512,Wallet,151133.0595920143,"",1,0
0x282edab8a933bc1c02649fe3ea2842ecbe9928a7,Wallet,151028.169,"",3,0
0x030e37ddd7df1b43db172b23916d523f1599c6cb,Wallet,150000.61159739702,"",1,416
0x4baf012726cb5ec7dda57bc2770798a38100c44d,Wallet,150000.10886573998,"",1,0
0x024861e9f89d44d00a7ada4aa89fe03cab9387cd,Wallet,150000.00000000006,"",0,0
0x1a71b118ac6c9086f43bcf2bb6ada3393be82a5c,Wallet,150000.00000000006,"",0,0
0x1ffedd7837bcbc53f91ad4004263deb8e9107540,Wallet,150000.00000000006,"",0,0
0x3ba25081d3935fcc6788e6220abcace39d58d95d,Wallet,150000.00000000006,"",0,0
0x6047a74d635262fb73ebce6c12bb6b14b3da70b4,Wallet,150000.00000000006,"",0,0
0x73263803def2ac8b1f8a42fac6539f5841f4e673,Wallet,150000.00000000006,"",0,0
0x78b96178e7ae1ff9adc5d8609e000811657993c8,Wallet,150000.00000000006,"",0,0
0x81153b940932f49f42e5719fe9d1ec04e0e5c119,Wallet,150000.00000000006,"",0,0
0x90a9e09501b70570f9b11df2a6d4f047f8630d6d,Wallet,150000.00000000006,"",0,0
0xd44023d2710dd7bef797a074ecec4fc74fdd52b2,Wallet,150000.00000000006,"",0,0
0xd65bd7f995bcc3bdb2ea2f8ff7554a61d1bf6e53,Wallet,150000.00000000006,"",0,0
0x0518f5bb058f6215a0ff5f4df54dae832d734e04,Wallet,150000.0,"",0,0
0x091933ee1088cdf5daace8baec0997a4e93f0dd6,Wallet,150000.0,"",0,0
0x0c05ec4db907cfb91b2a1a29e7b86688b7568a6d,Wallet,150000.0,"",0,0
0x0e86733eab26cfcc04bb1752a62ec88e910b4cf5,Wallet,150000.0,"",0,0
0x0f00294c6e4c30d9ffc0557fec6c586e6f8c3935,Wallet,150000.0,"",0,0
0x0ff64c53d295533a37f913bb78be9e2adc78f5fe,Wallet,150000.0,"",0,0
0x19d599012788b991ff542f31208bab21ea38403e,Wallet,150000.0,"",0,0
0x367989c660881e1ca693730f7126fe0ffc0963fb,Wallet,150000.0,"",0,0
0x4756eeebf378046f8dd3cb6fa908d93bfd45f139,Wallet,150000.0,"",0,0
0x4b4a011c420b91260a272afd91e54accdafdfc1d,Wallet,150000.0,"",0,0
0x550cd530bc893fc6d2b4df6bea587f17142ab64e,Wallet,150000.0,"",0,0
0x554f4476825293d4ad20e02b54aca13956acc40a,Wallet,150000.0,"",0,0
0x701c484bfb40ac628afa487b6082f084b14af0bd,Wallet,150000.0,"",0,0
0x77afe94859163abf0b90725d69e904ea91446c7b,Wallet,150000.0,"",0,0
0x7ae92148e79d60a0749fd6de374c8e81dfddf792,Wallet,150000.0,"",0,0
0x828103b231b39fffce028562412b3c04a4640e64,Wallet,150000.0,"",0,0
0x844ada2ed8ecd77a1a9c72912df0fcb8b8c495a7,Wallet,150000.0,"",0,0
0x8b83b9c4683aa4ec897c569010f09c6d04608163,Wallet,150000.0,"",0,0
0x9a1ed80ebc9936cee2d3db944ee6bd8d407e7f9f,Wallet,150000.0,"",0,0
0x9c2fc4fc75fa2d7eb5ba9147fa7430756654faa9,Wallet,150000.0,"",0,0
0x9cf36e93a8e2b1eaaa779d9965f46c90b820048c,Wallet,150000.0,"",0,0
0xa0efb63be0db8fc11681a598bf351a42a6ff50e0,Wallet,150000.0,"",0,0
0xb20411c403687d1036e05c8a7310a0f218429503,Wallet,150000.0,"",0,0
0xb8b6fe7f357adeab950ac6c270ce340a46989ce1,Wallet,150000.0,"",0,0
0xb8cda067fabedd1bb6c11c626862d7255a2414fe,Wallet,150000.0,"",0,0
0xb9fa6e54025b4f0829d8e1b42e8b846914659632,Wallet,150000.0,"",0,0
0xba18ded5e0d604a86428282964ae0bb249ceb9d0,Wallet,150000.0,"",0,0
0xc4cf565a5d25ee2803c9b8e91fc3d7c62e79fe69,Wallet,150000.0,"",0,0
0xca582d9655a50e6512045740deb0de3a7ee5281f,Wallet,150000.0,"",0,0
0xe04cf52e9fafa3d9bf14c407afff94165ef835f7,Wallet,150000.0,"",0,0
0xe35b0ef92452c353dbb93775e0df97cedf873c72,Wallet,150000.0,"",0,0
0xeb2b00042ce4522ce2d1aacee6f312d26c4eb9d6,Wallet,150000.0,"",0,0
0xfe01a216234f79cfc3bea7513e457c6a9e50250d,Wallet,150000.0,"",0,0
0x167a9333bf582556f35bd4d16a7e80e191aa6476,Wallet,149673.78223561775,"Coinone, Exchange Wallet",245989,23135
0x40f0d6fb7c9ddd9cbc1c02a208380c08cf77189b,Wallet,149573.99797557472,"",0,0
0x2fa9f9efc767650aace0422668444c3ff63e1f8d,Wallet,148531.6953140393,"",0,0
0xd57479b8287666b44978255f1677e412d454d4f0,Wallet,147699.42450340712,"",0,0
0x840760aed6bbd878c46c5850d3af0a61afcd09c8,Wallet,143912.34256864208,"",1,0
0x391b303cabf70b80e95d9221fd98f7416a1e7275,Wallet,140450.96458995,"",0,0
0xb5ab08d153218c1a6a5318b14eeb92df0fb168d6,Wallet,135283.67955800844,"",6,0
0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,Wallet,132309.21774897302,"Kraken_2, Exchange Wallet",4,12186
0xc78310231aa53bd3d0fea2f8c705c67730929d8f,Wallet,132000.68910820337,SingularDTV_Wallet,29,2
0xa4a6a282a7fc7f939e01d62d884355d79f5046c1,Wallet,130379.99999999999,"",0,4
0x246a2ecd9626f9eda55fffbff5216ed417a904f5,Wallet,129166.90336864206,"",1,0
0x25924128d7e41e9bd241788645ba1de8ba8dd640,Multisig,128529.54299999999,MultiSigWalletWithDailyLimit,1,0
0x2eb08efb9e10d9f56e46938f28c13ecb33f67b15,Wallet,126850.02176000002,"",16,4
0x0117ef7fdb2a5814dff83c50fb799741904cd28d,Multisig,123450.004,"",16,0
0x4ce6b9b77a2e3341c4f94c751cd5c3b2424eb4b2,Wallet,115304.17959999999,"",0,0
0x376c3e5547c68bc26240d8dcc6729fff665a4448,Smart Contract,114939.00001000777,Iconomi_MultiSig1,1,31
0x2125f3189cd5d650d6142b222f20083efc2d05f2,Wallet,112419.3287,"",0,0
0x9a9d870472bee65080e82bf3591f7c91de31a7cc,Wallet,112340.16651210778,"",7,0
0xdd5234bf64755ca4c07ee4c6529f89548c01a566,Wallet,111930.0,"",8,0
0x00e5c013694c9ee92b76ce6ad7ad3bcc20475d6f,Wallet,109487.89834,"",1,0
0x21346283a31a5ad10fa64377e77a8900ac12d469,Multisig,108761.24794052569,iEXEC_MultiSig,6,1
0x3bc643a841915a267ee067b580bd802a66001c1d,Wallet,108549.4520784622,"",24,2
0x47029dc4f3922706bf670d335c45550cff4f6a35,Wallet,108361.63937364887,"",6,0
0xddf744374b46aa980ddce4a5aa216478bf925cd1,Wallet,108094.45999999993,"",3,0
0xe8507b1532fc44e41b48efe45cf4abf92c5767c3,Wallet,107866.0013362366,"",0,0
0x11a05633e78aabf81cbc84d58e0f8d07fd25c992,Wallet,105329.14559723773,"",81,0
0xdb89045c811549f7eb925ec16f7d0cd7166556b3,Wallet,102590.58219999999,"",0,0
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,Wallet,102393.11057564813,"Exchange, Binance, Binance_1, Exchange Wallet",1546903,1475587
0x4eac9ce57af61a6fb1f61f0bf1d8586412be30bc,Wallet,102003.00501,"",1,1
0x5657e633be5912c6bab132315609b51aadd01f95,Wallet,101051.80711477611,"",2,0
0x06548a28a6b2dd51ef3c01a9a5a359e026474c2a,Wallet,100000.00136282839,"",2,0
0x40f50e8352d64af0ddda6ad6c94b5774884687c3,Wallet,100000.00001999998,"",0,0
0x4b5d3010905e0a2f62cce976d52c4f6eb5e545a5,Wallet,100000.00001,"",0,0
0xc44bdec8c36c5c68baa2ddf1d431693229726c43,Wallet,100000.00001,"",1,1
0x0cfb172335b16c87d519cd1475530d20577f5e0e,Wallet,100000.00000999999,"",0,0
0x2c06dd922b61514aafedd84488c0c28e6dcf0e99,Wallet,100000.00000999999,"",0,0
0x2d89034424db22c9c555f14692a181b22b17e42c,Wallet,100000.00000999999,"",0,0
0x3b7b8e27de33d3ce7961b98d19a52fe79f6c25be,Wallet,100000.00000999999,"",0,0
0x5104ecc0e330dd1f81b58ac9dbb1a9fbf88a3c85,Wallet,100000.00000999999,"",0,0
0x1cc1c81fd28cd948e94da74fa22fc4182d9ecfec,Wallet,99999.99999999999,"",0,0
0x44c2eb90a6d5d74dce8dccbd485cd889f8bc7b6a,Wallet,99999.99999999999,"",0,0
0x8c57902b34c5bc3d6ba750d7654f49c0b6187703,Wallet,99999.99999999999,"",0,0
0x9d447fcbdb05d1ce3d9b398a1a4ba21b35def209,Wallet,99999.99999999999,"",0,0
0x9fc97ce996338b06dd6df8101806ce53ec2e2b48,Wallet,99999.99999999999,"",0,0
0xae3808749e520415fd5184a5ee333b65cc86be8c,Wallet,99999.99999999999,"",0,0
0xb1179589e19db9d41557bbec1cb24ccc2dec1c7f,Wallet,99999.99999999999,"",7,3
0xba3fd3c06e5c670c15d7bc43c935cc02a3cc87d2,Wallet,99999.99999999999,"",0,0
0xd47ae555e8d869794adf7d1dbb78a7e47ccf811f,Wallet,99999.99999999999,"",0,0
0x19a604b24a62931fb48f648d7ac32b9c9047bf3a,Wallet,99999.99999999997,"",0,0
0x399322d74bd044460f6d853c6de8835fdd2685b1,Wallet,99999.99999999997,"",0,0
0x0d0707963952f2fba59dd06f2b425ace40b492fe,Wallet,97361.98518201041,"Gate.io_1, Exchange Wallet",603702,378280
0x1b29dd8ff0eb3240238bf97cafd6edea05d5ba82,Wallet,92651.5855265,"",0,0
0x0dbd8de20eed94a5693d57998827fcf68ed2ecf4,Wallet,92499.89217400206,"",0,0
0xc8e0c9ba619f64c948b065a70f4085fdbaf9316d,Wallet,90999.996556,"",0,0
0xe04a2634ff71461e342bcdc29ed807634e1565c2,Wallet,88877.1164845,"",0,0
0xb7e698183c6735484bcef276ea26125b57846d2c,Wallet,88750.00002,"",0,0
0x03f35f53a2598f9a1c8a452398d08429be70b7fc,Wallet,88750.00000999999,"",0,0
0x25b7231d3a8013ef4deb454e5c561a8b49149390,Wallet,88750.00000999999,"",0,0
0x3e962c8bce3c7a7bfbc3ca7a0018e158692ee095,Wallet,88750.00000999999,"",0,0
0x50bee102a94eb2b1c0aa716a811de35a694e3387,Wallet,88750.00000999999,"",0,0
0x534af382c275aa19dc095bf50c80c8717c86daca,Wallet,88750.00000999999,"",0,0
0x54fbd667181db44a28a96b364f294f82f1b0827b,Wallet,88750.00000999999,"",0,0
0xb8a2626a015b86d1cf1f8445de0b0c6e65a7afb8,Wallet,88750.00000999999,"",0,0
0xced1bc4b58b19f6f4b90557b0bda0ad328f7e4bb,Wallet,88750.00000999999,"",0,0
0xd329c11106d696cf5165265a00decfaa0f0878f1,Wallet,88750.00000999999,"",0,0
0xd532ebeb6ab531d230b6ad18c93e265ff0101dea,Wallet,88750.00000999999,"",0,0
0x30a2ebf10f34c6c4874b0bdd5740690fd2f3b70c,Wallet,88657.124587,"",0,0
0xb3764761e297d6f121e79c32a65829cd1ddb4d32,Wallet,83017.085772371,"MultisigExploit-Hacker, Heist",8,6
0xad6a5bd7ca49281912992be1b726efdef2a91294,Wallet,82443.8832776075,"",39,10
0xb46427e2cddecb0bde40bf402361effddd4401e2,Wallet,81444.24824273998,"",0,0
0xb70e68b65e69822e90e2b9a40000ca9cc2a5f05f,Wallet,80000.13999999998,"",0,0
0x3fbe1f8fc5ddb27d428aa60f661eaaab0d2000ce,Multisig,79697.05387231216,"",38209,0
0xfdfeb7474b6b104f32599948bb7f8ed81b06def3,Wallet,77735.85110000001,"",0,0
0xb240a3bb14893c35854fff452a540a64af708b6c,Wallet,77725.35,"",4,0
0xd24400ae8bfebb18ca49be86258a3c749cf46853,Wallet,77376.30550988507,"Gemini_1, Exchange Wallet, Fiat Gateway",517425,4397
0x8d95842b0bca501446683be598e12f1c616770c1,Wallet,76379.23492390622,"",0,0
0x8033539e873b3f0deaba706dd6d3480e0dd5cb30,Wallet,76212.1755,"",0,0
0x3f7e77b627676763997344a1ad71acb765fc8ac5,Wallet,75426.327646,"",0,0
0x5cf2639da7afb1e4d94df8abe3b383e4a6faaa66,Wallet,75000.939416,"",0,0
0x8317ab6588b0f6643773fb3049e1e5d93d6002d3,Wallet,74346.9947028881,"",29,0
0x80845058350b8c3df5c3015d8a717d64b3bf9267,Wallet,73678.31503695776,"",2,0
