name,coin,url,commits,contributors
1. Insolar,INS,https://github.com/insolar/insolar/graphs/commit-activity,"9,482",24 contributors
2. 0x,ZRX,https://github.com/0xProject/0x.js/graphs/commit-activity,"7,121",55 contributors
3. Holo,HOT,https://github.com/holochain/holochain-rust/graphs/commit-activity,"6,458",28 contributors
4. aelf,ELF,https://github.com/aelfProject/AElf/graphs/commit-activity,"5,433",26 contributors
5. RChain,RHOC,https://github.com/rchain/rchain/graphs/commit-activity,"5,173",49 contributors
6. TRON,TRX,https://github.com/tronprotocol/java-tron/graphs/commit-activity,"4,747",76 contributors
7. TrueChain,TRUE,https://github.com/truechain/truechain-engineering-code/graphs/commit-activity,"4,575",33 contributors
8. Zeusshield,ZSC,https://github.com/zeus-shield/zsc/graphs/commit-activity,"4,451",7 contributors
9. Zilliqa,ZIL,https://github.com/Zilliqa/Zilliqa/graphs/commit-activity,"4,351",35 contributors
10. Beam,BEAM,https://github.com/BeamMW/beam/graphs/commit-activity,"3,903",12 contributors
11. EOS,EOS,https://github.com/eosio/eos/graphs/commit-activity,"3,827",+100 contributors
12. Raiden Network Token,RDN,https://github.com/raiden-network/raiden/graphs/commit-activity,"3,440",67 contributors
13. Loki,LOKI,https://github.com/loki-project/loki-messenger-iOS/graphs/commit-activity,"3,377",75 contributors
14. Lisk,LSK,https://github.com/LiskHQ/lisk/graphs/commit-activity,"3,354",46 contributors
15. NULS,NULS,https://github.com/nuls-io/nuls/graphs/commit-activity,"3,282",12 contributors
16. Ren,REN,https://github.com/republicprotocol/republic-go/graphs/commit-activity,"2,731",7 contributors
17. Waves,WAVES,https://github.com/wavesplatform/Waves/graphs/commit-activity,"2,681",42 contributors
18. Ark,ARK,https://github.com/arkecosystem/core/graphs/commit-activity,"2,663",32 contributors
19. Skycoin,SKY,https://github.com/skycoin/skycoin/graphs/commit-activity,"2,451",56 contributors
20. Chainlink,LINK,https://github.com/smartcontractkit/chainlink/graphs/commit-activity,"2,343",22 contributors
21. Aion,AION,https://github.com/aionnetwork/aion/graphs/commit-activity,"2,274",36 contributors
22. Cardano,ADA,https://github.com/input-output-hk/cardano-sl/graphs/commit-activity,"2,159",91 contributors
23. Particl,PART,https://github.com/particl/particl-core/graphs/commit-activity,"2,109",+100 contributors
24. Ergo,EFYT,https://github.com/ergoplatform/ergo/graphs/commit-activity,"2,003",16 contributors
25. PARETO Rewards,PARETO,https://github.com/ParetoNetwork/ParetoDevelopmentActivityRelay/graphs/commit-activity,"1,976",3 contributors
26. Aeternity,AE,https://github.com/aeternity/epoch/graphs/commit-activity,"1,843",34 contributors
27. Bitcoin,BTC,https://github.com/bitcoin/bitcoin/graphs/commit-activity,"1,828",+100 contributors
28. Status,SNT,https://github.com/status-im/status-react/graphs/commit-activity,"1,783",+100 contributors
29. Golem,GNT,https://github.com/golemfactory/golem/graphs/commit-activity,"1,764",44 contributors
30. Stratis,STRAT,https://github.com/stratisproject/StratisBitcoinFullNode/graphs/commit-activity,"1,703",60 contributors
31. LikeCoin,LIKE,/graphs/commit-activity,"1,671",8 contributors
32. Semux,SEM,https://github.com/semuxproject/semux/graphs/commit-activity,"1,667",9 contributors
33. ProChain,PRA,https://github.com/prochain/eos/graphs/commit-activity,"1,652",+100 contributors
34. Ether-1,ETHO,https://github.com/Ether1Project/ETHOMask/graphs/commit-activity,"1,647",+100 contributors
35. Genesis Vision,GVT,https://github.com/GenesisVision/core/graphs/commit-activity,"1,511",9 contributors
36. YGGDRASH,YEED,https://github.com/yggdrash/yggdrash/graphs/commit-activity,"1,487",10 contributors
37. OriginTrail,TRAC,/graphs/commit-activity,"1,455",13 contributors
38. GlobalToken,GLT,https://github.com/globaltoken/globaltoken/graphs/commit-activity,"1,431",+100 contributors
39. Gulden,NLG,https://github.com/Gulden/gulden-official/graphs/commit-activity,"1,340",+100 contributors
40. Zeon,ZEON,https://github.com/ZeonNetwork/tokens/graphs/commit-activity,"1,330",+100 contributors
41. Storj,STORJ,https://github.com/Storj/storj/graphs/commit-activity,"1,239",34 contributors
42. LUXCoin,LUX,https://github.com/LUX-Core/lux/graphs/commit-activity,"1,233",27 contributors
43. Bottos,BTO,https://github.com/Bottos-project/bottos/graphs/commit-activity,"1,219",14 contributors
44. WOLLO,WLO,https://github.com/pigzbe/pigzbe-app/graphs/commit-activity,"1,181",5 contributors
45. Mysterium,MYST,https://github.com/MysteriumNetwork/node/graphs/commit-activity,"1,177",16 contributors
46. Qtum,QTUM,https://github.com/qtumproject/qtum/graphs/commit-activity,"1,130",+100 contributors
47. Groestlcoin,GRS,https://github.com/Groestlcoin/groestlcoin/graphs/commit-activity,"1,101",+100 contributors
48. Monero,XMR,https://github.com/monero-project/monero/graphs/commit-activity,"1,100",+100 contributors
49. Nebulas,NAS,https://github.com/nebulasio/go-nebulas/graphs/commit-activity,"1,095",32 contributors
50. SONM,SNM,https://github.com/sonm-io/core/graphs/commit-activity,"1,090",18 contributors
51. Grin,GRIN,https://github.com/mimblewimble/grin/graphs/commit-activity,"1,082",+100 contributors
52. Micromines,MICRO,https://github.com/micromines/token-profile/graphs/commit-activity,"1,068",+100 contributors
53. Ethereum,ETH,https://github.com/ethereum/go-ethereum/graphs/commit-activity,"1,067",+100 contributors
54. BetterBetting,BETR,/graphs/commit-activity,"1,065",+100 contributors
55. FundRequest,FND,/graphs/commit-activity,"1,062",10 contributors
56. Syscoin,SYS,https://github.com/syscoin/syscoin2/graphs/commit-activity,"1,049",+100 contributors
57. NIX,NIX,/graphs/commit-activity,"1,025",+100 contributors
58. CrypticCoin,CRYP,https://github.com/crypticcoinvip/CrypticCoin/graphs/commit-activity,"1,024",+100 contributors
59. eXPerience Chain,XPC,https://github.com/xpc-wg/xpchain/graphs/commit-activity,"1,007",
60. Komodo,KMD,https://github.com/jl777/SuperNET/graphs/commit-activity,"1,000",41 contributors
61. Ulord,UT,https://github.com/UlordChain/UlordChain/graphs/commit-activity,993,13 contributors
62. Bitcoin Cash,BCH,https://github.com/Bitcoin-ABC/bitcoin-abc/graphs/commit-activity,984,+100 contributors
63. Nano,NANO,https://github.com/nanocurrency/nano-node/graphs/commit-activity,961,53 contributors
64. Feathercoin,FTC,https://github.com/FeatherCoin/Feathercoin/graphs/commit-activity,951,+100 contributors
65. POA Network,POA,/graphs/commit-activity,944,13 contributors
66. BitShares,BTS,https://github.com/bitshares/bitshares-core/graphs/commit-activity,943,50 contributors
67. Factom,FCT,https://github.com/FactomProject/factomd/graphs/commit-activity,922,56 contributors
68. AdShares,ADS,https://github.com/adshares/adserver/graphs/commit-activity,880,7 contributors
69. Bitcoin Diamond,BCD,https://github.com/eveybcd/BitcoinDiamond/graphs/commit-activity,874,+100 contributors
