Insolar,INS,https://github.com/insolar/insolar/graphs/commit-activity,"9,503",24 contributors
0x,ZRX,https://github.com/0xProject/0x.js/graphs/commit-activity,"7,189",55 contributors
Holo,HOT,https://github.com/holochain/holochain-rust/graphs/commit-activity,"6,712",30 contributors
aelf,ELF,https://github.com/aelfProject/AElf/graphs/commit-activity,"5,705",27 contributors
RChain,RHOC,https://github.com/rchain/rchain/graphs/commit-activity,"5,240",49 contributors
TRON,TRX,https://github.com/tronprotocol/java-tron/graphs/commit-activity,"4,816",77 contributors
Zeusshield,ZSC,https://github.com/zeus-shield/zsc/graphs/commit-activity,"4,454",7 contributors
Zilliqa,ZIL,https://github.com/Zilliqa/Zilliqa/graphs/commit-activity,"4,355",35 contributors
TrueChain,TRUE,https://github.com/truechain/truechain-engineering-code/graphs/commit-activity,"4,099",34 contributors
Beam,BEAM,https://github.com/BeamMW/beam/graphs/commit-activity,"3,948",13 contributors
EOS,EOS,https://github.com/eosio/eos/graphs/commit-activity,"3,827",+100 contributors
Raiden,RDN,https://github.com/raiden-network/raiden/graphs/commit-activity,"3,506",67 contributors
Lisk,LSK,https://github.com/LiskHQ/lisk/graphs/commit-activity,"3,384",46 contributors
Loki,LOKI,https://github.com/loki-project/loki-messenger-iOS/graphs/commit-activity,"3,377",75 contributors
NULS,NULS,https://github.com/nuls-io/nuls/graphs/commit-activity,"3,282",12 contributors
Ren,REN,https://github.com/republicprotocol/republic-go/graphs/commit-activity,"2,731",7 contributors
Waves,WAVES,https://github.com/wavesplatform/Waves/graphs/commit-activity,"2,685",42 contributors
Ark,ARK,https://github.com/arkecosystem/core/graphs/commit-activity,"2,663",32 contributors
Skycoin,SKY,https://github.com/skycoin/skycoin/graphs/commit-activity,"2,451",56 contributors
Chainlink,LINK,https://github.com/smartcontractkit/chainlink/graphs/commit-activity,"2,404",22 contributors
Aion,AION,https://github.com/aionnetwork/aion/graphs/commit-activity,"2,274",36 contributors
Cardano,ADA,https://github.com/input-output-hk/cardano-sl/graphs/commit-activity,"2,163",91 contributors
Particl,PART,https://github.com/particl/particl-core/graphs/commit-activity,"2,118",+100 contributors
Ergo,EFYT,https://github.com/ergoplatform/ergo/graphs/commit-activity,"2,020",16 contributors
PARETO,PARETO,https://github.com/ParetoNetwork/ParetoDevelopmentActivityRelay/graphs/commit-activity,"1,989",3 contributors
Aeternity,AE,https://github.com/aeternity/epoch/graphs/commit-activity,"1,851",34 contributors
Bitcoin,BTC,https://github.com/bitcoin/bitcoin/graphs/commit-activity,"1,840",+100 contributors
Status,SNT,https://github.com/status-im/status-react/graphs/commit-activity,"1,840",+100 contributors
Golem,GNT,https://github.com/golemfactory/golem/graphs/commit-activity,"1,789",44 contributors
Stratis,STRAT,https://github.com/stratisproject/StratisBitcoinFullNode/graphs/commit-activity,"1,711",60 contributors
LikeCoin,LIKE,/graphs/commit-activity,"1,671",8 contributors
Semux,SEM,https://github.com/semuxproject/semux/graphs/commit-activity,"1,667",9 contributors
ProChain,PRA,https://github.com/prochain/eos/graphs/commit-activity,"1,652",+100 contributors
Ether-1,ETHO,https://github.com/Ether1Project/ETHOMask/graphs/commit-activity,"1,647",+100 contributors
Selfkey,KEY,https://github.com/SelfKeyFoundation/Identity-Wallet/graphs/commit-activity,"1,569",18 contributors
YGGDRASH,YEED,https://github.com/yggdrash/yggdrash/graphs/commit-activity,"1,532",10 contributors
Genesis,GVT,https://github.com/GenesisVision/core/graphs/commit-activity,"1,511",9 contributors
OriginTrail,TRAC,/graphs/commit-activity,"1,455",13 contributors
GlobalToken,GLT,https://github.com/globaltoken/globaltoken/graphs/commit-activity,"1,431",+100 contributors
Gulden,NLG,https://github.com/Gulden/gulden-official/graphs/commit-activity,"1,341",+100 contributors
Zeon,ZEON,https://github.com/ZeonNetwork/tokens/graphs/commit-activity,"1,330",+100 contributors
Storj,STORJ,https://github.com/Storj/storj/graphs/commit-activity,"1,256",34 contributors
LUXCoin,LUX,https://github.com/LUX-Core/lux/graphs/commit-activity,"1,233",27 contributors
Bottos,BTO,https://github.com/Bottos-project/bottos/graphs/commit-activity,"1,224",14 contributors
WOLLO,WLO,https://github.com/pigzbe/pigzbe-app/graphs/commit-activity,"1,213",5 contributors
Mysterium,MYST,https://github.com/MysteriumNetwork/node/graphs/commit-activity,"1,182",16 contributors
Monero,XMR,https://github.com/monero-project/monero/graphs/commit-activity,"1,133",+100 contributors
Qtum,QTUM,https://github.com/qtumproject/qtum/graphs/commit-activity,"1,130",+100 contributors
Nebulas,NAS,https://github.com/nebulasio/go-nebulas/graphs/commit-activity,"1,119",32 contributors
Groestlcoin,GRS,https://github.com/Groestlcoin/groestlcoin/graphs/commit-activity,"1,101",+100 contributors
SONM,SNM,https://github.com/sonm-io/core/graphs/commit-activity,"1,092",18 contributors
Grin,GRIN,https://github.com/mimblewimble/grin/graphs/commit-activity,"1,087",+100 contributors
Ethereum,ETH,https://github.com/ethereum/go-ethereum/graphs/commit-activity,"1,080",+100 contributors
Micromines,MICRO,https://github.com/micromines/token-profile/graphs/commit-activity,"1,068",+100 contributors
BetterBetting,BETR,/graphs/commit-activity,"1,065",+100 contributors
FundRequest,FND,/graphs/commit-activity,"1,062",10 contributors
Syscoin,SYS,https://github.com/syscoin/syscoin2/graphs/commit-activity,"1,049",+100 contributors
CrypticCoin,CRYP,https://github.com/crypticcoinvip/CrypticCoin/graphs/commit-activity,"1,026",+100 contributors
NIX,NIX,/graphs/commit-activity,"1,025",+100 contributors
eXPerience,XPC,https://github.com/xpc-wg/xpchain/graphs/commit-activity,"1,007",+100 contributors
Komodo,KMD,https://github.com/jl777/SuperNET/graphs/commit-activity,"1,000",41 contributors
Ulord,UT,https://github.com/UlordChain/UlordChain/graphs/commit-activity,993,13 contributors
Bitcoin,BCH,https://github.com/Bitcoin-ABC/bitcoin-abc/graphs/commit-activity,984,+100 contributors
Nano,NANO,https://github.com/nanocurrency/nano-node/graphs/commit-activity,972,53 contributors
Feathercoin,FTC,https://github.com/FeatherCoin/Feathercoin/graphs/commit-activity,951,+100 contributors
Absolute,ABS,https://github.com/absolute-community/absolute/graphs/commit-activity,950,+100 contributors
POA,POA,/graphs/commit-activity,944,13 contributors
